Postcode,Suburb Name,State,Long,Lat,Region 1
2850,AARONS PASS,NSW,149.602925,-32.685033,Hunter Valley exc Newcastle
6280,ABBA RIVER,WA,115.302732,-33.728945,Bunbury
6280,ABBEY,WA,115.302732,-33.728945,Bunbury
3737,ABBEYARD,VIC,146.82759,-36.554037,Hume
4613,ABBEYWOOD,QLD,151.338904,-26.279772,Wide Bay
2176,ABBOTSBURY,NSW,150.88526,-33.872014,Sydney - South West
2046,ABBOTSFORD,NSW,151.133865,-33.866044,Sydney - Inner West
3067,ABBOTSFORD,VIC,144.998203,-37.803515,Melbourne - Inner
4670,ABBOTSFORD,QLD,152.297855,-24.88776,Wide Bay
7315,ABBOTSHAM,TAS,146.072407,-41.303174,West and North West
7112,ABELS BAY,TAS,147.140014,-43.291937,South East
4627,ABERCORN,QLD,150.778657,-25.350178,Wide Bay
2795,ABERCROMBIE,NSW,149.474401,-33.820797,Central West
2795,ABERCROMBIE RIVER,NSW,149.3476918,-33.91030648,Central West
2325,ABERDARE,NSW,151.317476,-32.977861,Hunter Valley exc Newcastle
2336,ABERDEEN,NSW,151.102917,-32.14622,Hunter Valley exc Newcastle
7310,ABERDEEN,TAS,146.239406,-41.237355,West and North West
3040,ABERFELDIE,VIC,144.902556,-37.751845,Melbourne - North West
3825,ABERFELDY,VIC,146.342932,-37.978862,Latrobe - Gippsland
2350,ABERFOYLE,NSW,151.906153,-30.493397,New England and North West
5159,ABERFOYLE PARK,SA,138.603897,-35.061705,Adelaide - South
2320,ABERGLASSLYN,NSW,151.543675,-32.741737,Hunter Valley exc Newcastle
4850,ABERGOWRIE,QLD,146.49572,-18.552533,Townsville
2326,ABERMAIN,NSW,151.453148,-32.785207,Hunter Valley exc Newcastle
2325,ABERNETHY,NSW,151.317476,-32.977861,Hunter Valley exc Newcastle
4871,ABINGDON DOWNS,QLD,145.994075,-16.934184,Queensland - Outback
4892,ABINGDON DOWNS,QLD,143.3735,-14.6604,Queensland - Outback
2350,ABINGTON,NSW,151.906153,-30.493397,New England and North West
4660,ABINGTON,QLD,152.300968,-25.189298,Wide Bay
5440,ABMINGA STATION,SA,140.3153142,-32.21594669,South Australia - South East
2476,ACACIA CREEK,NSW,152.49765,-28.36456,Richmond - Tweed
2763,ACACIA GARDENS,NSW,150.89547,-33.725619,Sydney - Blacktown
822,ACACIA HILLS,NT,130.6254299,-11.75841975,Northern Territory - Outback
7306,ACACIA HILLS,TAS,146.193428,-41.465311,West and North West
2350,ACACIA PARK,NSW,151.906153,-30.493397,New England and North West
2476,ACACIA PLATEAU,NSW,152.49765,-28.36456,Richmond - Tweed
4110,ACACIA RIDGE,QLD,153.009526,-27.612178,Ipswich
4110,ACACIA RIDGE BC,QLD,153.009526,-27.612178,Ipswich
4110,ACACIA RIDGE DC,QLD,153.009526,-27.612178,Ipswich
3714,ACHERON,VIC,145.687889,-37.210538,Hume
4401,ACLAND,QLD,151.703647,-27.473135,Darling Downs - Maranoa
2601,ACTON,ACT,149.113796,-35.275863,Australian Capital Territory
7320,ACTON,TAS,145.862079,-41.08422,West and North West
6280,ACTON PARK,WA,115.302732,-33.728945,Bunbury
7170,ACTON PARK,TAS,147.449794,-42.85132,Hobart
3833,ADA,VIC,145.851865,-37.84222154,Melbourne - Outer East
2629,ADAMINABY,NSW,148.769744,-35.997349,Riverina
3984,ADAMS ESTATE,VIC,145.563979,-38.312647,Melbourne - South East
2289,ADAMSTOWN,NSW,151.71008,-32.948567,Newcastle and Lake Macquarie
2289,ADAMSTOWN HEIGHTS,NSW,151.71008,-32.948567,Newcastle and Lake Macquarie
6375,ADAMSVALE,WA,117.879836,-32.286284,Western Australia - Wheat Belt
4343,ADARE,QLD,152.224616,-27.656074,Toowoomba
4474,ADAVALE,QLD,144.495283,-25.666985,Queensland - Outback
3352,ADDINGTON,VIC,143.662387,-37.482132,Warrnambool and South West
5000,ADELAIDE,SA,138.600746,-34.92849902,Adelaide - Central and Hills
5001,ADELAIDE,SA,138.600746,-34.92849902,Adelaide - Central and Hills
5950,ADELAIDE AIRPORT,SA,138.530183,-34.945146,Adelaide - West
3465,ADELAIDE LEAD,VIC,143.611335,-37.021478,North West
4703,ADELAIDE PARK,QLD,150.894331,-23.074563,Fitzroy
846,ADELAIDE RIVER,NT,131.095002,-13.210299,Northern Territory - Outback
5005,ADELAIDE UNIVERSITY,SA,138.60351,-34.919398,Adelaide - Central and Hills
2729,ADELONG,NSW,147.923797,-35.227753,Riverina
2727,ADJUNGBILLY,NSW,148.390372,-34.983539,Riverina
4211,ADVANCETOWN,QLD,153.241258,-28.035453,Gold Coast
7150,ADVENTURE BAY,TAS,147.958441,-43.077586,South East
4870,AEROGLEN,QLD,145.742303,-16.923761,Cairns
2474,AFTERLEE,NSW,152.88504,-28.499375,Richmond - Tweed
